"id","statusCliente","ipConcentrador","nomeConcentrador","latitudeCliente","longitudeCliente","conexaoInicial","conexaoFinal","tempoConectado","consumoDownload","consumoUpload","motivoDesconexao","popCliente","nomeCliente","enderecoCliente","bairroCliente","cidadeCliente","planoContrato","statusInternet","valorPlano"
ee62b9b4-f407-4e81-b997-85f14d83dc53,true,"10.10.0.11",Concentrador_Core,-191.934.682,-400.982.687,2024-05-07 18:19:57.000,,66493,18315384028,1329340078,"",SOORETAMA C,ANGELA GLEASON,,CANAA,SOORETAMA,"20 MB Internet Fibra",1,59.9
"29ba742c-f0b0-4a9e-8a03-e2a2db3284e9",true,"10.10.0.11",Concentrador_Core,-129.777.378,-385.016.363,2024-05-04 16:00:55.000,,333666,4274543298,1396425543,"",SOORETAMA D,SABRINA BREITENBERG,,SALVADOR,SOORETAMA,"40 MB Internet Banda Larga",1,79.9
b72c91de-2a92-4068-911e-ee8b7f6504e4,true,"10.10.0.11",Concentrador_Core,-19.188.284,-40.097.113,2024-04-29 00:19:39.000,,822770,28831267539,4878002691,"",SOORETAMA C,ANDRE BOYLE,,CENTRO,SOORETAMA,"300 MB Internet Banda Larga",1,109.9
b0951c61-d40b-4d5c-84b6-77211485f4a9,true,"10.10.0.11",Concentrador_Core,-191.924.613,-401.004.446,2024-04-21 19:03:11.000,,1446870,404964682128,28333271601,"",SOORETAMA C,ERIKA KERLUKE,,CENTRO,SOORETAMA,"10 MB Internet Fibra",1,59.9
"6ce91086-1b87-41dd-ad49-8e52c7dc5db9",true,"10.10.0.11",Concentrador_Core,-191.889.059,-401.108.834,2024-05-05 12:58:52.000,,258873,6319374208,347514895,"",SOORETAMA B,FRANCIS DARE,,SAYONARA,SOORETAMA,"30 MB Internet Fibra",1,79.9
"37d07245-05c0-47e7-8feb-37969e42e4c2",true,"10.10.0.11",Concentrador_Core,-191.921.922,-400.934.397,2024-05-01 15:42:39.000,,594270,108084208303,8027901710,"",SOORETAMA C,DR. BRUCE GUTKOWSKI,,DALVO LOUREIRO,SOORETAMA,"20 MB Internet Fibra",1,59.9
"5976518b-b719-49dc-baae-104e8c2f6ffb",true,"10.10.0.11",Concentrador_Core,-191.876.471,-401.066.576,2024-05-07 20:33:18.000,,58475,10210151125,246885089,"",SOORETAMA D,SALVADOR ROBEL-MAYERT,,SAYONARA,SOORETAMA,"40 MB Internet Banda Larga",1,79.9
db38a405-bcd9-4c74-aa54-bf992b143257,true,"10.10.0.11",Concentrador_Core,-191.980.934,-401.006.203,2024-04-21 19:00:52.000,,1446150,261113837092,9697958729,"",SOORETAMA D,ANDRES SPINKA,,CENTRO,SOORETAMA,"50 MB Internet Fibra",1,99.9
"854fb0af-9c7d-4f2e-82a1-d68559e9b14e",true,"10.10.0.11",Concentrador_Core,-191.898.054,-401.061.733,2024-04-29 00:19:00.000,,823006,67993164948,2521349903,"",SOORETAMA D,MR. MARCUS POWLOWSKI,,SAYONARA,SOORETAMA,"20 MB Internet Fibra",1,59.9
bbaf350b-f3f9-47d8-890c-2f332320eefd,true,"10.10.0.11",Concentrador_Core,-191.925.299,-401.024.969,2024-04-21 19:03:21.000,,1446936,359025017848,12427527627,"",SOORETAMA C,ROMAN WINTHEISER,,CENTRO,SOORETAMA,"150 MB Internet Banda Larga",1,94.9
"3e562bc2-adee-42b0-b673-a0fad985a2dc",true,"10.10.0.11",Concentrador_Core,-191.909.969,-400.975.618,2024-05-06 19:35:31.000,,147986,35394347776,2784963615,"",SOORETAMA D,SHANE DACH,,CENTRO,SOORETAMA,"300 MB Internet Banda Larga",1,109.9
a35e2f88-24a4-4989-b782-c530071ec08c,true,"10.10.0.11",Concentrador_Core,-191.840.247,-401.133.137,2024-05-02 00:33:25.000,,562255,103288268396,2354531492,"",SOORETAMA C,KARI UPTON,,ALEGRE,SOORETAMA,"40 MB Internet Banda Larga",1,79.9
"3e4a0b88-fac2-46d9-8e5e-db6520a30d78",true,"10.10.0.11",Concentrador_Core,-191.878.015,-400.990.992,2024-05-04 16:01:35.000,,334641,12273124170,954199727,"",SOORETAMA C,APRIL THOMPSON-MANTE,,SALVADOR,SOORETAMA,"20 MB Internet Fibra",1,59.9
bde2f71d-1c9c-41a0-b977-b841aca9d131,true,"10.10.0.11",Concentrador_Core,-191.929.371,-400.969.242,2024-05-05 14:48:23.000,,251639,5912393720,1157870063,"",SOORETAMA D,DR. VIRGIL ROLFSON IV,,BAIRRO BIONATIVA,SOORETAMA,"300 MB Internet Banda Larga",5,109.9
c43bbe22-83b8-4c18-ac17-d88e35a148a3,true,"10.10.0.11",Concentrador_Core,-191.906.972,-401.126.616,2024-05-04 16:02:30.000,,334276,91241608727,6759584641,"",SOORETAMA C,STELLA BERGE JR.,,SALVADOR,SOORETAMA,"150 MB Internet Banda Larga",1,94.9
"49dbe289-9ad5-4456-b0e3-39394af220ae",true,"10.10.0.11",Concentrador_Core,-19.190.875.923.700.700,-4.010.784.847.891.230,2024-04-29 18:10:19.000,,758853,43847610799,2677046616,"",SOORETAMA D,ALEJANDRO BECHTELAR,,PARQUE SAO JORGE,SOORETAMA,"60 MB Internet Banda Larga",1,89.9
ece7fba2-bb65-4716-b0aa-43d36dde21f7,true,"10.10.0.11",Concentrador_Core,-191.887.833,-401.112.555,2024-04-23 19:51:51.000,,1270713,148716801155,17243066900,"",SOORETAMA B,RENEE HEATHCOTE-EMARD,,CENTRO,SOORETAMA,"25 MB Internet Fibra",1,79.9
"0da24798-f21b-41c2-8d22-6aa842fab654",true,"10.10.0.11",Concentrador_Core,-191.891.111,-400.965.416,2024-05-03 22:28:09.000,,397108,65259081353,2466240312,"",SOORETAMA D,HECTOR DIBBERT III,,CENTRO,SOORETAMA,"20 MB Internet Fibra",1,59.9
d01f85af-07de-410b-8ba3-7aa9b4cc9a6e,true,"10.10.0.11",Concentrador_Core,-191.944.686,-400.962.206,2024-05-08 08:13:38.000,,16673,438162835,26043757,Lost-Carrier,SOORETAMA B,ALVIN CONNELLY,,CENTRO,SOORETAMA,"150 MB Internet Banda Larga",1,99.9
"6afc65f0-27f7-4af9-9ddb-ae0711961d0a",true,"10.100.150.62",Concentrador_Giganet,-191.574.006,-401.440.086,2024-05-08 05:34:54.000,,26400,621298916,14893663,User-Request,SOORETAMA A,DEAN WINTHEISER,,CORREGO PATIOBA,SOORETAMA,"30 MB Internet Fibra",1,79.9
"097be8e9-e126-4e3d-a490-e3115295c31e",true,"10.100.150.62",Concentrador_Giganet,-191.574.006,-401.440.086,2024-05-07 19:28:08.000,,62400,7690871458,482625187,"",SOORETAMA C,FAYE O'KEEFE,,CORREGO PATIOBA,SOORETAMA,"4 MB Internet",1,59.0
"97f33e67-4d0b-46e5-97c3-9e66e2d989f7",true,"10.10.0.11",Concentrador_Core,-19.191.380.812.432.200,-40.100.073.257.892.400,2024-05-05 10:44:11.000,,266919,4198645393,303883528,"",SOORETAMA C,LYNN SCHUPPE III,,CENTRO,SOORETAMA,"25 MB Internet Fibra",1,79.9
"4f25de20-fc6e-4e1d-af96-bbb7478328da",true,"10.10.0.11",Concentrador_Core,-191.921.212,-40.101.438,2024-05-03 09:03:39.000,,445407,90224634612,4118302954,"",SOORETAMA C,SHELDON MOHR,,CENTRO,SOORETAMA,"10 MB Internet Fibra",1,59.9
"4afe1005-6d87-41ff-acab-4af47f59607f",true,"10.10.0.11",Concentrador_Core,-19.193.626,-401.082.224,2024-05-01 21:46:18.000,,573136,16211078607,1888801488,"",SOORETAMA D,RAUL WINTHEISER,,SAIONARA,SOORETAMA,"300 MB Internet Banda Larga",1,109.9
bff2d01b-cfca-499b-a66d-9ff4dca3b664,true,"10.10.0.11",Concentrador_Core,-191.960.232,-400.963.297,2024-04-21 19:01:40.000,,1446015,71120288491,3952128222,"",SOORETAMA B,VAN POUROS,,CENTRO,SOORETAMA,"60 MB Internet Banda Larga",1,89.9
